date,LBUSTRUU Index
2000-01-03,829.39
2000-01-04,832.53
2000-01-05,828.84
2000-01-06,831.02
2000-01-07,833.27
2000-01-10,831.98
2000-01-11,828.11
2000-01-12,827.04
2000-01-13,830.78
2000-01-14,829.45
2000-01-17,829.45
2000-01-18,827.44
2000-01-19,828.56
2000-01-20,827.42
2000-01-21,828.15
2000-01-24,831.84
2000-01-25,832.09
2000-01-26,832.89
2000-01-27,833.28
2000-01-28,833.71
2000-01-31,831.02
2000-02-01,832.85
2000-02-02,833.3
2000-02-03,837.01
2000-02-04,834.8
2000-02-07,832.17
2000-02-08,834.91
2000-02-09,832.82
2000-02-10,831.01
2000-02-11,832.34
2000-02-14,835.87
2000-02-15,834.92
2000-02-16,834.2
2000-02-17,833.98
2000-02-18,836.8
2000-02-21,836.8
2000-02-22,842.3
2000-02-23,839.54
2000-02-24,842.36
2000-02-25,842.26
2000-02-28,839.67
2000-02-29,841.07
2000-03-01,841.86
2000-03-02,842.06
2000-03-03,843.75
2000-03-06,842.64
2000-03-07,843.47
2000-03-08,843.32
2000-03-09,843.92
2000-03-10,842.1
2000-03-13,842.9
2000-03-14,843.82
2000-03-15,844.62
2000-03-16,845.8
2000-03-17,847.89
2000-03-20,848.36
2000-03-21,848.94
2000-03-22,849.03
2000-03-23,850.33
2000-03-24,846.87
2000-03-27,846.66
2000-03-28,846.7
2000-03-29,846.86
2000-03-30,850.42
2000-03-31,852.15
2000-04-03,853.81
2000-04-04,859.15
2000-04-05,857.83
2000-04-06,856.84
2000-04-07,859.0
2000-04-10,860.69
2000-04-11,857.32
2000-04-12,854.77
2000-04-13,856.75
2000-04-14,858.42
2000-04-17,855.34
2000-04-18,854.8
2000-04-19,857.34
2000-04-20,857.65
2000-04-21,857.65
2000-04-24,857.55
2000-04-25,853.59
2000-04-26,852.97
2000-04-27,849.11
2000-04-28,849.71
2000-05-01,849.15
2000-05-02,847.6
2000-05-03,843.89
2000-05-04,840.16
2000-05-05,837.8
2000-05-08,836.17
2000-05-09,837.76
2000-05-10,839.81
2000-05-11,840.38
2000-05-12,836.72
2000-05-15,838.67
2000-05-16,840.74
2000-05-17,839.63
2000-05-18,836.75
2000-05-19,838.39
2000-05-22,841.96
2000-05-23,841.55
2000-05-24,841.45
2000-05-25,845.05
2000-05-26,847.56
2000-05-29,847.56
2000-05-30,845.97
2000-05-31,849.32
2000-06-01,853.76
2000-06-02,857.47
2000-06-05,860.38
2000-06-06,860.4
2000-06-07,860.41
2000-06-08,860.28
2000-06-09,860.13
2000-06-12,862.06
2000-06-13,862.08
2000-06-14,864.54
2000-06-15,864.3
2000-06-16,867.43
2000-06-19,866.7
2000-06-20,865.63
2000-06-21,862.37
2000-06-22,861.36
2000-06-23,859.33
2000-06-26,862.47
2000-06-27,863.16
2000-06-28,862.5
2000-06-29,865.86
2000-06-30,866.99
2000-07-03,869.09
2000-07-04,869.09
2000-07-05,870.58
2000-07-06,868.63
2000-07-07,870.91
2000-07-10,870.62
2000-07-11,870.57
2000-07-12,870.18
2000-07-13,873.45
2000-07-14,869.7
2000-07-17,867.58
2000-07-18,867.59
2000-07-19,867.41
2000-07-20,873.84
2000-07-21,874.54
2000-07-24,873.52
2000-07-25,874.13
2000-07-26,874.13
2000-07-27,875.5
2000-07-28,874.41
2000-07-31,874.86
2000-08-01,876.47
2000-08-02,877.5
2000-08-03,878.71
2000-08-04,881.02
2000-08-07,880.26
2000-08-08,882.06
2000-08-09,882.68
2000-08-10,884.7
2000-08-11,882.6
2000-08-14,883.55
2000-08-15,882.78
2000-08-16,881.94
2000-08-17,882.45
2000-08-18,883.65
2000-08-21,883.38
2000-08-22,884.01
2000-08-23,886.27
2000-08-24,886.99
2000-08-25,886.97
2000-08-28,885.59
2000-08-29,884.15
2000-08-30,884.44
2000-08-31,887.54
2000-09-01,889.65
2000-09-04,889.65
2000-09-05,890.76
2000-09-06,889.18
2000-09-07,888.0
2000-09-08,888.86
2000-09-11,888.04
2000-09-12,887.98
2000-09-13,890.06
2000-09-14,888.2
2000-09-15,887.39
2000-09-18,887.39
2000-09-19,887.74
2000-09-20,886.56
2000-09-21,888.02
2000-09-22,889.42
2000-09-25,890.1
2000-09-26,891.79
2000-09-27,891.21
2000-09-28,891.79
2000-09-29,893.12
2000-10-02,892.6
2000-10-03,891.53
2000-10-04,890.61
2000-10-05,891.8
2000-10-06,892.89
2000-10-09,892.89
2000-10-10,893.63
2000-10-11,894.3
2000-10-12,896.23
2000-10-13,896.14
2000-10-16,895.74
2000-10-17,898.21
2000-10-18,898.11
2000-10-19,899.38
2000-10-20,900.91
2000-10-23,903.44
2000-10-24,902.61
2000-10-25,900.71
2000-10-26,900.77
2000-10-27,899.84
2000-10-30,899.83
2000-10-31,899.03
2000-11-01,900.59
2000-11-02,901.21
2000-11-03,898.17
2000-11-06,897.38
2000-11-07,897.54
2000-11-08,898.1
2000-11-09,899.86
2000-11-10,899.97
2000-11-13,901.83
2000-11-14,902.54
2000-11-15,904.0
2000-11-16,905.23
2000-11-17,903.9
2000-11-20,904.47
2000-11-21,904.7
2000-11-22,907.41
2000-11-23,907.41
2000-11-24,906.63
2000-11-27,906.72
2000-11-28,908.26
2000-11-29,910.05
2000-11-30,913.73
2000-12-01,911.58
2000-12-04,912.2
2000-12-05,916.2
2000-12-06,920.48
2000-12-07,921.18
2000-12-08,920.13
2000-12-11,920.02
2000-12-12,920.58
2000-12-13,923.58
2000-12-14,926.24
2000-12-15,927.02
2000-12-18,927.9
2000-12-19,927.0
2000-12-20,930.28
2000-12-21,932.04
2000-12-22,933.01
2000-12-25,933.01
2000-12-26,932.71
2000-12-27,930.61
2000-12-28,929.97
2000-12-29,930.68
2001-01-01,930.68
2001-01-02,938.84
2001-01-03,933.62
2001-01-04,938.37
2001-01-05,943.45
2001-01-08,944.95
2001-01-09,942.45
2001-01-10,939.08
2001-01-11,938.32
2001-01-12,934.03
2001-01-15,934.03
2001-01-16,935.27
2001-01-17,938.51
2001-01-18,942.41
2001-01-19,939.64
2001-01-22,938.45
2001-01-23,936.42
2001-01-24,936.28
2001-01-25,938.17
2001-01-26,938.91
2001-01-29,938.45
2001-01-30,941.54
2001-01-31,945.9
2001-02-01,949.28
2001-02-02,945.85
2001-02-05,945.69
2001-02-06,943.79
2001-02-07,944.29
2001-02-08,944.21
2001-02-09,946.79
2001-02-12,945.79
2001-02-13,944.52
2001-02-14,942.75
2001-02-15,940.79
2001-02-16,944.31
2001-02-19,944.31
2001-02-20,944.8
2001-02-21,943.48
2001-02-22,943.78
2001-02-23,945.84
2001-02-26,948.05
2001-02-27,952.01
2001-02-28,954.14
2001-03-01,955.92
2001-03-02,952.41
2001-03-05,952.39
2001-03-06,952.53
2001-03-07,955.39
2001-03-08,956.69
2001-03-09,954.95
2001-03-12,955.43
2001-03-13,954.83
2001-03-14,958.33
2001-03-15,959.82
2001-03-16,961.59
2001-03-19,959.86
2001-03-20,961.98
2001-03-21,962.97
2001-03-22,964.82
2001-03-23,961.79
2001-03-26,960.51
2001-03-27,955.62
2001-03-28,956.27
2001-03-29,956.92
2001-03-30,958.93
2001-04-02,958.2
2001-04-03,959.17
2001-04-04,960.13
2001-04-05,958.62
2001-04-06,962.47
2001-04-09,961.38
2001-04-10,956.02
2001-04-11,955.38
2001-04-12,954.17
2001-04-13,954.17
2001-04-16,949.95
2001-04-17,953.28
2001-04-18,957.66
2001-04-19,953.42
2001-04-20,954.11
2001-04-23,957.39
2001-04-24,957.06
2001-04-25,955.46
2001-04-26,958.74
2001-04-27,954.1
2001-04-30,954.95
2001-05-01,957.07
2001-05-02,958.07
2001-05-03,961.59
2001-05-04,962.82
2001-05-07,962.61
2001-05-08,962.13
2001-05-09,964.14
2001-05-10,960.06
2001-05-11,952.03
2001-05-14,955.23
2001-05-15,954.21
2001-05-16,955.96
2001-05-17,957.04
2001-05-18,957.91
2001-05-21,958.43
2001-05-22,958.41
2001-05-23,958.71
2001-05-24,955.03
2001-05-25,955.31
2001-05-28,955.31
2001-05-29,955.4
2001-05-30,955.66
2001-05-31,960.71
2001-06-01,962.59
2001-06-04,964.28
2001-06-05,967.17
2001-06-06,967.46
2001-06-07,965.74
2001-06-08,963.82
2001-06-11,966.43
2001-06-12,968.59
2001-06-13,968.51
2001-06-14,970.27
2001-06-15,969.25
2001-06-18,968.91
2001-06-19,969.15
2001-06-20,970.17
2001-06-21,971.1
2001-06-22,974.63
2001-06-25,974.48
2001-06-26,971.3
2001-06-27,970.33
2001-06-28,966.32
2001-06-29,964.34
2001-07-02,967.5
2001-07-03,965.97
2001-07-04,965.97
2001-07-05,965.08
2001-07-06,967.37
2001-07-09,968.91
2001-07-10,971.31
2001-07-11,970.95
2001-07-12,972.74
2001-07-13,972.62
2001-07-16,974.96
2001-07-17,975.4
2001-07-18,980.03
2001-07-19,979.83
2001-07-20,979.78
