date,LD12TRUU Index
2000-01-03,144.7
2000-01-04,144.73
2000-01-05,144.75
2000-01-06,144.77
2000-01-07,144.81
2000-01-10,144.86
2000-01-11,144.87
2000-01-12,144.88
2000-01-13,144.91
2000-01-14,144.92
2000-01-17,144.92
2000-01-18,145.01
2000-01-19,145.03
2000-01-20,145.06
2000-01-21,145.08
2000-01-24,145.14
2000-01-25,145.16
2000-01-26,145.17
2000-01-27,145.19
2000-01-28,145.21
2000-01-31,145.28
2000-02-01,145.3
2000-02-02,145.32
2000-02-03,145.37
2000-02-04,145.38
2000-02-07,145.45
2000-02-08,145.48
2000-02-09,145.51
2000-02-10,145.53
2000-02-11,145.55
2000-02-14,145.61
2000-02-15,145.62
2000-02-16,145.63
2000-02-17,145.65
2000-02-18,145.67
2000-02-21,145.67
2000-02-22,145.76
2000-02-23,145.78
2000-02-24,145.8
2000-02-25,145.82
2000-02-28,145.88
2000-02-29,145.91
2000-03-01,145.94
2000-03-02,145.96
2000-03-03,145.98
2000-03-06,146.05
2000-03-07,146.07
2000-03-08,146.1
2000-03-09,146.12
2000-03-10,146.14
2000-03-13,146.21
2000-03-14,146.23
2000-03-15,146.26
2000-03-16,146.29
2000-03-17,146.3
2000-03-20,146.36
2000-03-21,146.38
2000-03-22,146.41
2000-03-23,146.43
2000-03-24,146.44
2000-03-27,146.51
2000-03-28,146.54
2000-03-29,146.56
2000-03-30,146.58
2000-03-31,146.61
2000-04-03,146.68
2000-04-04,146.71
2000-04-05,146.73
2000-04-06,146.76
2000-04-07,146.78
2000-04-10,146.85
2000-04-11,146.88
2000-04-12,146.9
2000-04-13,146.94
2000-04-14,146.96
2000-04-17,147.03
2000-04-18,147.06
2000-04-19,147.08
2000-04-20,147.1
2000-04-21,147.1
2000-04-24,147.2
2000-04-25,147.22
2000-04-26,147.26
2000-04-27,147.3
2000-04-28,147.35
2000-05-01,147.38
2000-05-02,147.42
2000-05-03,147.44
2000-05-04,147.46
2000-05-05,147.47
2000-05-08,147.52
2000-05-09,147.54
2000-05-10,147.56
2000-05-11,147.59
2000-05-12,147.62
2000-05-15,147.69
2000-05-16,147.71
2000-05-17,147.75
2000-05-18,147.79
2000-05-19,147.83
2000-05-22,147.89
2000-05-23,147.9
2000-05-24,147.93
2000-05-25,147.97
2000-05-26,147.99
2000-05-29,147.99
2000-05-30,148.08
2000-05-31,148.12
2000-06-01,148.14
2000-06-02,148.12
2000-06-05,148.18
2000-06-06,148.19
2000-06-07,148.22
2000-06-08,148.25
2000-06-09,148.27
2000-06-12,148.34
2000-06-13,148.38
2000-06-14,148.4
2000-06-15,148.43
2000-06-16,148.45
2000-06-19,148.52
2000-06-20,148.55
2000-06-21,148.57
2000-06-22,148.59
2000-06-23,148.61
2000-06-26,148.68
2000-06-27,148.7
2000-06-28,148.72
2000-06-29,148.74
2000-06-30,148.76
2000-07-03,148.82
2000-07-04,148.82
2000-07-05,148.87
2000-07-06,148.88
2000-07-07,148.9
2000-07-10,148.96
2000-07-11,148.98
2000-07-12,148.99
2000-07-13,149.01
2000-07-14,149.04
2000-07-17,149.11
2000-07-18,149.13
2000-07-19,149.15
2000-07-20,149.17
2000-07-21,149.2
2000-07-24,149.27
2000-07-25,149.3
2000-07-26,149.33
2000-07-27,149.35
2000-07-28,149.37
2000-07-31,149.45
2000-08-01,149.47
2000-08-02,149.49
2000-08-03,149.52
2000-08-04,149.54
2000-08-07,149.62
2000-08-08,149.65
2000-08-09,149.67
2000-08-10,149.69
2000-08-11,149.71
2000-08-14,149.84
2000-08-15,149.82
2000-08-16,149.84
2000-08-17,149.87
2000-08-18,149.89
2000-08-21,149.97
2000-08-22,150.0
2000-08-23,150.02
2000-08-24,150.04
2000-08-25,150.07
2000-08-28,150.14
2000-08-29,150.17
2000-08-30,150.19
2000-08-31,150.22
2000-09-01,150.25
2000-09-04,150.25
2000-09-05,150.37
2000-09-06,150.4
2000-09-07,150.43
2000-09-08,150.46
2000-09-11,150.55
2000-09-12,150.58
2000-09-13,150.6
2000-09-14,150.62
2000-09-15,150.64
2000-09-18,150.72
2000-09-19,150.74
2000-09-20,150.77
2000-09-21,150.8
2000-09-22,150.82
2000-09-25,150.9
2000-09-26,150.92
2000-09-27,150.95
2000-09-28,150.97
2000-09-29,151.02
2000-10-02,151.08
2000-10-03,151.11
2000-10-04,151.13
2000-10-05,151.15
2000-10-06,151.18
2000-10-09,151.18
2000-10-10,151.28
2000-10-11,151.31
2000-10-12,151.34
2000-10-13,151.36
2000-10-16,151.43
2000-10-17,151.46
2000-10-18,151.48
2000-10-19,151.5
2000-10-20,151.53
2000-10-23,151.6
2000-10-24,151.62
2000-10-25,151.65
2000-10-26,151.67
2000-10-27,151.7
2000-10-30,151.77
2000-10-31,151.8
2000-11-01,151.82
2000-11-02,151.85
2000-11-03,151.87
2000-11-06,151.94
2000-11-07,151.97
2000-11-08,152.0
2000-11-09,152.03
2000-11-10,152.06
2000-11-13,152.14
2000-11-14,152.16
2000-11-15,152.19
2000-11-16,152.22
2000-11-17,152.25
2000-11-20,152.33
2000-11-21,152.36
2000-11-22,152.39
2000-11-23,152.39
2000-11-24,152.44
2000-11-27,152.52
2000-11-28,152.55
2000-11-29,152.58
2000-11-30,152.6
2000-12-01,152.63
2000-12-04,152.72
2000-12-05,152.76
2000-12-06,152.78
2000-12-07,152.81
2000-12-08,152.84
2000-12-11,152.92
2000-12-12,152.95
2000-12-13,152.97
2000-12-14,153.0
2000-12-15,153.03
2000-12-18,153.12
2000-12-19,153.16
2000-12-20,153.2
2000-12-21,153.29
2000-12-22,153.36
2000-12-25,153.36
2000-12-26,153.37
2000-12-27,153.39
2000-12-28,153.4
2000-12-29,153.46
2001-01-01,153.46
2001-01-02,153.51
2001-01-03,153.56
2001-01-04,153.64
2001-01-05,153.72
2001-01-08,153.77
2001-01-09,153.78
2001-01-10,153.8
2001-01-11,153.82
2001-01-12,153.85
2001-01-15,153.85
2001-01-16,153.93
2001-01-17,153.96
2001-01-18,153.99
2001-01-19,154.02
2001-01-22,154.08
2001-01-23,154.1
2001-01-24,154.12
2001-01-25,154.14
2001-01-26,154.18
2001-01-29,154.25
2001-01-30,154.29
2001-01-31,154.32
2001-02-01,154.33
2001-02-02,154.34
2001-02-05,154.4
2001-02-06,154.42
2001-02-07,154.44
2001-02-08,154.46
2001-02-09,154.49
2001-02-12,154.55
2001-02-13,154.57
2001-02-14,154.59
2001-02-15,154.62
2001-02-16,154.65
2001-02-19,154.65
2001-02-20,154.73
2001-02-21,154.75
2001-02-22,154.76
2001-02-23,154.8
2001-02-26,154.87
2001-02-27,154.89
